Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment,Course,Term,Q1: Organization,Q3: Questions,Q4: Visual Presentation,Q5: Oral Presentation,Q6: Availability,Q7: Ability to hold Interest,Q8: Effectiveness,Q9: Attendance,Q10: Assigned Work,Q11: Printed Notes,Q12: Textbook,Q13: New Material,Q14: Assigned Work Amount,Q15: Hours Per Week,Q16: What instructor has done well,Q17: Improvements to technique or style,Q18: Course's strong points,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment,Q1: Q1,Q2: Q2,Q3: Q3,Q4: Q4,Q5: Q5,Q6: Q6,Q7: Q7,Q8: Q8,Q9: Q9,Q10: Q10,Q11: Q11,Q12: Q12,Q13: Q13,Q14: Q14,Q15: Q15,Q16: Q16,Q17: Q17,Q18: Q18,Q19: Things Done Well,Q20: Improvements to be Made
729479,2020-04-01T17:21:12.985529-04:00,Agree,3.0,,Neutral,2.0,,Agree,3.0,,Neutral,2.0,,Agree,3.0,,Neutral,2.0,,Neutral,2.0,,Agree,3.0,,Neutral,2.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,80-90,4.0,,Elective,1.0,,Around 10 hours,2.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563432,2019-03-29T10:50:11.155342-04:00,,1.0,,Just Right,2.0,,,3.0,,,0.0,,,1.0,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,1.0,,,,,,2.0,,,2.0,,,1.0,,,,I found the lectures to be very well organized in terms of introducing new ideas and interconnecting different areas of content. I also felt the assignments and quizzes were very good representations of bigger evaluations and so I was rarely surprised when it came to the midterms.,,,"My criticism would be that when questions were asked, be it in class or during office hours, the professor seemed to imply that the student should already know the answer, which was somewhat discouraging. This could be resolved by simply employing the ""no stupid questions"" philosophy more.",,,"I found the content itself to be quite interesting and unlike any other course I'm taking, I found it easy to see the actual applications of much of the course material, which made it easier to motivate myself to do well in this course. The weekly quizzes were sometimes stressful but they did push me to stay up to date on the lessons and actually understand them, so I think they are a good system. I liked when we were given time in class for individual examples and the professor went around and checked our work, it made it easier to catch bad technique and ensure actual engagement not just copying notes.",MATH 114,Winter 2019,Good,Unsatisfactory,Excellent,Good,Available,Interesting,Good,90-100%,Very helpful,Helpful,,Right amount,Right amount,3-6 hours,,,,,,"I found it frustrating at times that the material required for the weekly optional assignments wasn't taught until after their deadline. While the assignments are optional, they're some of the only explicitly assigned practice material and I often found I was just fumbling my way through, so if the deadline for some of the assignments could be pushed to reflect where we're at in the course at that time, that would be helpful.",,,"I found the atmosphere to be fairly neutral, not negative but not particularly positive either. There wasn't a lot of participation by the students which was unfortunate.",,,Good class size.,,,,,,,,,,,,,,,,,,,,
563415,2019-03-29T10:44:59.853165-04:00,,0.0,,Just Right,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,,0.0,,,2.0,,,2.0,,,1.0,,,,"He gives flashback on the thing we did last class.
He always make sure everyone get what is going on the lecture.",,,"I like his style, just keep it",,,math,MATH 114,Winter 2019,Excellent,Excellent,Excellent,Excellent,Available,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Very helpful,Right amount,Right amount,3-6 hours,,,,,,math,,,positive,,,nah,,,,,,,,,,,,,,,,,,,,
563426,2019-03-29T10:47:40.888478-04:00,,2.0,,Somewhat too low,3.0,,,2.0,,,2.0,,,2.0,,,5.0,,,2.0,,,2.0,,,1.0,,,1.0,,,1.0,,,0.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,,MATH 114,Winter 2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Did not seek help,Not interesting,Satisfactory,75-90%,Helpful,Helpful,Very helpful,Right amount,Right amount,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578761,2019-04-03T11:42:22.681423-04:00,,1.0,,Just Right,2.0,,,1.0,,,2.0,,,0.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,3.0,,,0.0,,,1.0,,,2.0,,,0.0,,,,,,,,,,,MATH 114,Winter 2019,Good,Good,Satisfactory,Excellent,,Interesting,Good,75-90%,Helpful,No printed notes,Very helpful,Somewhat too much,Right amount,0-2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563397,2019-03-29T10:41:27.875566-04:00,,0.0,,Somewhat too high,1.0,,,0.0,,,0.0,,,0.0,,,1.0,,,2.0,,,0.0,,,0.0,,,1.0,,,1.0,,,0.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,MATH 114,Winter 2019,Excellent,Excellent,Excellent,Excellent,Usually available,Not interesting,Excellent,90-100%,Helpful,Helpful,Very helpful,Somewhat too much,Right amount,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563430,2019-03-29T10:49:22.906393-04:00,,0.0,Flow of lecture made sense,Somewhat too high,1.0,"Sometimes spoke really fast when explaining how to get from step to step and I got a little lost, especially towards the beginning of the course when I hadn't taken math in 3 years and wasn't completely confident in my math skills.",,1.0,,,0.0,The layout was really clean and easy to follow,,2.0,Sometimes spoke a little fast,,5.0,,,2.0,"Mostly just because I struggle with math, nothing against the teaching",,1.0,,,0.0,,,0.0,I really liked the assignments as preparation for the quizzes.,,0.0,I found I learned way better with the PowerPoints because I was less focused on trying to copy everything down and could focus more on the explanation and make my own annotated notes.,,0.0,"The course content aligned really well with the chapters, though I did find that the textbook questions were a little basic, they helped solidify basic ideas but the questions asked on midterms were a lot harder than those so I struggled to bring all the concepts together sometimes.",,1.0,Found it was really fast in the beginning but the end of the course had a sweet spot of good amounts of new material each lecture.,,2.0,It was a lot of work but it kept me learning the material so I know it will help with the final exam.,,1.0,,,,"The use of examples directly after introducing topics helped solidify the material really well, walked around and helped people who were struggling which is nice",,,Maybe talk a little slower,,,,MATH 114,Winter 2019,Excellent,Good,Excellent,Satisfactory,Did not seek help,Not interesting,Good,90-100%,Very helpful,Very helpful,Very helpful,Somewhat too much,Right amount,3-6 hours,,,,,,,,,Very positive class atmosphere,,,"I liked the size of class, a lot less intimidating than a lecture hall",,,,,,,,,,,,,,,,,,,,
563396,2019-03-29T10:41:13.621504-04:00,,1.0,,Just Right,2.0,,,1.0,,,0.0,,,1.0,,,5.0,,,1.0,,,1.0,,,0.0,,,1.0,,,3.0,,,1.0,,,2.0,,,2.0,,,0.0,,,,,,,,,,,MATH 114,Winter 2019,Good,Good,Excellent,Good,Did not seek help,Interesting,Good,90-100%,Helpful,No printed notes,Helpful,Right amount,Right amount,0-2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563416,2019-03-29T10:45:14.557622-04:00,,1.0,,Somewhat too high,1.0,,,1.0,,,1.0,,,1.0,,,5.0,,,1.0,,,1.0,,,0.0,,,0.0,,,1.0,,,3.0,,,1.0,,,2.0,,,1.0,,,,Mukto seems to genuinely care about how the students. The course is hard and sometimes confusing but I think that's the course and not the instructor. ,,,,,," When you really know the material, it's satisfying to do well on quizzes.",MATH 114,Winter 2019,Good,Good,Good,Good,Did not seek help,Interesting,Good,90-100%,Very helpful,Helpful,No text required,Somewhat too much,Right amount,3-6 hours,,,,,," The pacing is very fast, and trying to remember everything takes a lot of effort sometimes. ",,,,,,,,,,,,,,,,,,,,,,,,,,
563401,2019-03-29T10:41:58.314103-04:00,,1.0,,Just Right,2.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,1.0,,,1.0,,,2.0,,,1.0,,,2.0,,,1.0,,,,"He takes into consideration how the students feel about certain topics and adjusts the difficulty of those topics accordingly, reducing the stress of the course overall",,,,,,,MATH 114,Winter 2019,Good,Good,Good,Good,Usually available,Interesting,Good,90-100%,Helpful,Helpful,Not helpful,Somewhat too much,Right amount,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580252,2019-04-03T14:21:18.961658-04:00,,1.0,,No opinion,5.0,,,1.0,,,1.0,,,1.0,,,5.0,,,2.0,,,1.0,,,4.0,,,0.0,,,,,,,,,5.0,,,5.0,,,0.0,,,,Decent lectures and fine wording of questions on assessments (a lot of linear algebra vocabulary can be very confusing).,,,,,,There was lots of good practice before assessments.,MATH 114,Winter 2019,Good,Good,Good,Good,Did not seek help,Not interesting,Good,<25%,Very helpful,,,No opinion,No opinion,0-2 hours,,,,,,"This would be my second time taking MATH 114 (I dropped the course a little over halfway through) and I noticed how there were much more proofs now than when I last took it. I feel as though having to know all of these proofs overall distracted from learning how to do the actual processes (i.e. determinants, RREF etc.). Also, I found the amount of proofs on assessments to be a bit too much (i.e. ~50% of questions would be proofs) especially compared to when I last took this course.",,,Atmosphere was fine.,,,,,,,,,,,,,,,,,,,,,,,
563423,2019-03-29T10:47:14.007318-04:00,,2.0,,Just Right,2.0,,,1.0,,,2.0,,,1.0,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,3.0,,,1.0,,,2.0,,,2.0,,,2.0,,,,good presentation,,,too fast sometimes,,,,MATH 114,Winter 2019,Satisfactory,Good,Satisfactory,Good,Available,Interesting,Good,90-100%,Very helpful,No printed notes,Helpful,Right amount,Right amount,7-10 hours,,,,,,,,,,,,maybe having a bigger classroom with more whiteboards would help me keep up with the speed of the teaching,,,,,,,,,,,,,,,,,,,,
562538,2019-03-29T00:21:53.352671-04:00,,0.0,,Just Right,2.0,,,0.0,,,0.0,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.0,,,3.0,,,1.0,,,2.0,,,1.0,,,1.0,,,,Use of black board definitely helps me to stay focused more than lectures that used slides.,,,,,,Well paced lessons. ,MATH 114,Winter 2019,Excellent,Excellent,Excellent,Excellent,Usually available,Interesting,Excellent,90-100%,Very helpful,No printed notes,Helpful,Right amount,Somewhat too much,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563437,2019-03-29T10:50:46.143420-04:00,,1.0,,Somewhat too high,1.0,,,2.0,,,1.0,,,2.0,,,5.0,,,1.0,,,2.0,,,0.0,,,,,,,,,,,,2.0,,,,,,0.0,,,,Walked around and checked to see how students were making headway on a task and whether they were having difficulty.,,,"Moreso a problem with me rather than the instructor, I often felt that asking too many questions would waste time, and moved on without understanding concepts completely.",,,,MATH 114,Winter 2019,Good,Satisfactory,Good,Satisfactory,Did not seek help,Interesting,Satisfactory,90-100%,,,,Right amount,,0-2 hours,,,,,,,,,,,,The view of the slides and the blackboard for those sitting at the back would often be blocked by the heads of those sitting in front.,,,,,,,,,,,,,,,,,,,,
565507,2019-03-30T21:34:06.655342-04:00,,1.0,,Somewhat too high,1.0,,,2.0,,,1.0,,,2.0,,,1.0,,,1.0,,,2.0,,,0.0,,,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,MATH 114,Winter 2019,Good,Satisfactory,Good,Satisfactory,Usually available,Interesting,Satisfactory,90-100%,Helpful,Helpful,Helpful,Right amount,Somewhat too much,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563398,2019-03-29T10:41:32.264619-04:00,,1.0,,Just Right,2.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,1.0,,,3.0,,,1.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,,MATH 114,Winter 2019,Good,Good,Good,Good,Usually available,Interesting,Good,90-100%,Helpful,No printed notes,Helpful,Right amount,Right amount,3-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585272,2019-04-04T16:02:46.619034-04:00,,0.0,,Just Right,2.0,,,0.0,,,0.0,,,0.0,,,5.0,,,1.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,It does what it says on the tin. Came for linear algebra. Was taught linear algebra.,MATH 114,Winter 2019,Excellent,Excellent,Excellent,Excellent,Did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,Very helpful,Right amount,Right amount,3-6 hours,,,,,,"The course had a strong emphasis on computation (which I understand is inherently more testable), and less emphasis on forming an intuitive understanding and appreciation for what linear algebra can represent. YouTube creator 3Blue1Brown has a wonderful series on linear algebra, and I would love to see a similar approach incorporated in to a university course.",,,,,,,,,,,,,,,,,,,,,,,,,,
563429,2019-03-29T10:49:02.631722-04:00,,0.0,,Just Right,2.0,,,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,,0.0,,,2.0,,,2.0,,,2.0,,,,The course is really engaging because the professor is passionated about it. He always did a lot of examples and change the course outline according to the needs of the students. ,,,I think that maybe add some lecture notes with all the theorems and some examples can help to remind students what was cover in the class and until where one have to study for the Quizzes. Since we do not follow the book strictly saying chapter 5.1 and 5.2 is not enough to know what will be tested. ,,,"The topic is really interesting, it is the only course in 1 year that introduces proves for science students, and actually show why math works, for me the best course of my first year.",MATH 114,Winter 2019,Excellent,Excellent,Excellent,Excellent,Sometimes available,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Very helpful,Right amount,Right amount,7-10 hours,,,,,,Some concepts can be challenging.,,,"Not at all, some times some people were doing CS next to me but the instructor helped to avoid that. ",,,No other comments ,,,,,,,,,,,,,,,,,,,,
563457,2019-03-29T10:57:05.043086-04:00,,1.0,,Somewhat too high,1.0,,,1.0,,,1.0,,,0.0,,,,,,1.0,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,2.0,,,2.0,,,1.0,,,,In-class exercises to attempt.,,,"While it's better to learn by writing down notes from the blackboard, sometimes there's a lot of content that's written down during a lecture and because im busy copying down the blackboard, I miss out on listening to the oral presentation of the notes.",,,Weekly assignments to help the students keep up with the material,MATH 114,Winter 2019,Good,Good,Good,Excellent,,Interesting,Excellent,75-90%,Very helpful,Helpful,Very helpful,Right amount,Right amount,3-6 hours,,,,,,Allocation of writing time and listening time,,,/,,,Certain angles of seats make it difficult to see blackboard,,,,,,,,,,,,,,,,,,,,
563433,2019-03-29T10:50:14.247175-04:00,,0.0,,Just Right,2.0,,,1.0,,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,1.0,,,3.0,,,2.0,,,2.0,,,2.0,,,1.0,,,,The examples in class are helpful. ,,,"Start the course by covering the concept of proofs more like the ""rules"" of proofs.",,,The calculation examples in class were good and prepared us well for the tests.,MATH 114,Winter 2019,Excellent,Good,Excellent,Excellent,Usually available,Interesting,Good,90-100%,Helpful,No printed notes,Not helpful,Right amount,Right amount,3-6 hours,,,,,,Some of the proofs and justifications need more time.,,,No comment,,,No comment,,,,,,,,,,,,,,,,,,,,
296232,2017-11-14T09:32:00.814766-05:00,,0.0,,,1.0,,,0.0,,,1.0,,,,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,,4.0,,,1.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,"I like the review that you did at the start of every class, they were very helpful for the quizzes. I also like how you took up all the difficult questions that we struggled with, so we would know how to do them for the quizzes and exams ",,,I struggled to keep up with taking notes sometimes when you used both the projector and the board. Students would be able to pay more attention of you slowed down a little ,,,,(A) Organized,(B),(A) Excellent,(B),,(B),(A) A great deal,(A) Obviously enthusiastic & responsible,(A) Friendly & open,(A) Very high,(D),(E) Very heavy,(B),(A) Very useful,(B),(B),(B),(A) All classes attended,,
307970,2017-11-17T21:09:27.283296-05:00,,0.0,,,0.0,,,1.0,,,0.0,,,,,,1.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,"He maintains a very professional relationship with the class, very fluent lectures, and clearly very knowledgeable in his field. ",,,Treats wrong answer participation badly; however it's very subtle but also discourages the class participation.,,,,(A) Organized,(A) Clear,(B),(A) Excellent,,(B),(A) A great deal,(A) Obviously enthusiastic & responsible,(B),(A) Very high,(B),(A) Very little,(A) Very useful,(A) Very useful,(A) Very closely,(B),(A) Excellent,(B),,
296170,2017-11-14T09:27:36.055576-05:00,,0.0,,,1.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,1.0,,,0.0,,,,,,,,,,,,0.0,,,3.0,,,0.0,,,0.0,,,0.0,,,0.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,Using logical arguments to justify mathematic theorems. ,,,Avoid going on tangents. ,,,,(A) Organized,(B),(A) Excellent,(B),(B),(B),(A) A great deal,(B),(A) Friendly & open,,,,(A) Very useful,(D),(A) Very closely,(A) Very valuable,(A) Excellent,(A) All classes attended,,
302689,2017-11-15T14:55:26.479302-05:00,,0.0,,,0.0,,,0.0,,,0.0,,,,,,2.0,,,0.0,,,0.0,,,0.0,,,1.0,,,3.0,,,3.0,,,0.0,,,2.0,,,3.0,,,0.0,,,1.0,,,0.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,(A) Organized,(A) Clear,(A) Excellent,(A) Excellent,,(C),(A) A great deal,(A) Obviously enthusiastic & responsible,(A) Friendly & open,(B),(D),(D),(A) Very useful,(C),(D),(A) Very valuable,(B),(A) All classes attended,,
291202,2017-11-10T00:15:33.584012-05:00,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,,,1.0,,,0.0,,,0.0,,,0.0,,,2.0,,,1.0,,,3.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,(A) Organized,(A) Clear,(A) Excellent,(A) Excellent,(A) Volunteering assistance with pleasure,(C),(B),(A) Obviously enthusiastic & responsible,(A) Friendly & open,(A) Very high,(C),(B),(D),(C),(A) Very closely,(A) Very valuable,(A) Excellent,(A) All classes attended,,
292274,2017-11-10T18:39:05.086391-05:00,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,2.0,,,0.0,,,0.0,,,1.0,,,0.0,,,2.0,,,3.0,,,1.0,,,0.0,,,1.0,,,3.0,,,1.0,,,0.0,,MATH 115,Fall 2017,,,,,,,,,,,,,,,,,,,,"Great teacher, really seemed to care about our understanding of the material. Really liked how he wrapped the course material together. Explanations were thorough and answers to questions were clear. By far my favorite professor of the yet, would love to have him again.",,,"One aspect I did not really enjoy was the proofs in the course. Not really something he could control, but he still made them as easy to understand as possible. ",,,,(A) Organized,(A) Clear,(A) Excellent,(A) Excellent,(B),(C),(A) A great deal,(A) Obviously enthusiastic & responsible,(B),(A) Very high,(C),(D),(B),(A) Very useful,(B),(D),(B),(A) All classes attended,,
