Response ID,Response Time,Q1: Q1,Q1 Select Index,Q1 Comment,Q2: Q2,Q2 Select Index,Q2 Comment,Q3: Q3,Q3 Select Index,Q3 Comment,Q4: Q4,Q4 Select Index,Q4 Comment,Q5: Q5,Q5 Select Index,Q5 Comment,Q6: Q6,Q6 Select Index,Q6 Comment,Q7: Q7,Q7 Select Index,Q7 Comment,Q8: Q8,Q8 Select Index,Q8 Comment,Q9: Q9,Q9 Select Index,Q9 Comment,Q10: Q10,Q10 Select Index,Q10 Comment,Q11: Q11,Q11 Select Index,Q11 Comment,Q12: Q12,Q12 Select Index,Q12 Comment,Q13: Q13,Q13 Select Index,Q13 Comment,Q14: Q14,Q14 Select Index,Q14 Comment,Q15: Q15,Q15 Select Index,Q15 Comment,Q16: Q16,Q16 Select Index,Q16 Comment,Q17: Q17,Q17 Select Index,Q17 Comment,Q18: Q18,Q18 Select Index,Q18 Comment,Q19: Things Done Well,Q19 Select Index,Q19 Comment,Q20: Improvements to be Made,Q20 Select Index,Q20 Comment
484252,2018-11-21T16:07:31.259564-05:00,(C),2,,(B),1,,(B),1,,(B),1,,,,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(D),3,,(C),2,,(C),2,,(B),1,,(C),2,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
484369,2018-11-21T16:11:47.867082-05:00,(A) Organized,0,He goes way to fast a d has lots of unnecessary stuff in his lectures at the start of the uear,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(C),2,,(C),2,,(D),3,,(C),2,,(C),2,,(C),2,,(C),2,,(E) Totally useless,4,,(A) Very useful,0,,(B),1,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,,,,
483117,2018-11-21T14:23:10.317344-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(B),1,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(C),2,I would Rank the old textbook a D and the new one a C,(A) Very useful,0,Assignments were challenging but complemented my understanding of the concepts covered in lecture.,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
484353,2018-11-21T16:11:14.292428-05:00,(C),2,,(B),1,,(A) Excellent,0,,(B),1,,(C),2,,(D),3,,(D),3,,(C),2,,(A) Friendly & open,0,,(C),2,,(E) Very Difficult,4,,(D),3,,(B),1,,(A) Very useful,0,,(B),1,,(B),1,,(C),2,,(A) All classes attended,0,,,,,,,
483145,2018-11-21T14:27:39.277996-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,,,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,Great explanations of concepts and always willing to help students! Thanks professor Akash,,,
484516,2018-11-21T16:30:04.935119-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(B),1,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,Keep on being an incredible teacher!,,,
484243,2018-11-21T16:07:07.860223-05:00,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(B),1,,(C),2,,(B),1,,(E) Very Difficult,4,,(D),3,,(E) Totally useless,4,,(A) Very useful,0,,(C),2,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
484248,2018-11-21T16:07:20.429954-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(E) Totally useless,4,,(B),1,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
483025,2018-11-21T14:17:35.138895-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(B),1,,(D),3,,(B),1,,(B),1,,(A) Very high,0,,(E) Very Difficult,4,,(D),3,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,
484381,2018-11-21T16:12:13.111236-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(E) Very heavy,4,,(D),3,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,"The notes you write on the board are very, very useful when reviewing at home. Even if I zone out during the lecture, I can read your notes and understand exactly what's going on.",,,"I think you should slow down if you can. The material can be hard to digest sometimes, so having more time to think about the material and write it down will definitely be useful."
484246,2018-11-21T16:07:13.460562-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,,,,
470228,2018-11-19T14:41:16.205811-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(C),2,,(B),1,,(A) A great deal,0,,(C),2,,(A) Friendly & open,0,,(A) Very high,0,,(B),1,,(D),3,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
484241,2018-11-21T16:07:06.048721-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(C),2,,(C),2,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(D),3,,(B),1,,(B),1,,(C),2,,(C),2,,(A) All classes attended,0,,,,,,,
484470,2018-11-21T16:21:44.667723-05:00,(A) Organized,0,Occasionally Mukto's explanations needed clarification. Sometimes he'd say something as a matter of fact and people would be confused,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(A) A great deal,0,,(B),1,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,I think Mukto does a really good job of explaining the important concepts to us by giving examples pertinent to our testing,,,It would be better if Mukto explained how he came to certain conclusions during examples better
484436,2018-11-21T16:15:07.142502-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(C),2,,(C),2,,(B),1,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,"I don't know why prof. Akash choose to present the course in different order instead of how the textbook goes, but it is indeed somewhat making the course more interesting, everything sort of comes together at the end of the term, which I really enjoy. ",,,"I wish we could slow down the pace, but I understand there is a lot of material to cover. But anyhow, sometimes I feel like we are cramming instead of learning. Especially when a quiz is coming and we have to finish the contents"
484265,2018-11-21T16:07:57.505218-05:00,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,,,,(B),1,,(B),1,,(B),1,,(A) Friendly & open,0,,(B),1,,(D),3,,(D),3,,(C),2,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,,,The notes written on the board were quite useful and good for studying,,,The speed of the lectures made it difficult to take notes while still listening to what he was saying
484285,2018-11-21T16:08:51.836425-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(B),1,,(D),3,,(C),2,,(B),1,,(A) Very useful,0,,(C),2,,(E) Not valuable at all,4,,(B),1,,(A) All classes attended,0,,,,Good presentation and explanation of concepts ,,,The old textbook was way better 
484304,2018-11-21T16:09:19.308739-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(B),1,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(D),3,,(D),3,,(B),1,,(B),1,,(C),2,,(D),3,,(B),1,,(A) All classes attended,0,,,,You really are a great prof. Everything is explained and nothing is left unexplained.,,,Maybe need to focus on the explanations of the concepts
484260,2018-11-21T16:07:46.079674-05:00,(B),1,,(B),1,,(B),1,,(A) Excellent,0,,(C),2,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(D),3,,(C),2,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,
484274,2018-11-21T16:08:17.046308-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,,,,(B),1,,(B),1,,(B),1,,,,,(A) Very high,0,,(E) Very Difficult,4,,(E) Very heavy,4,,(C),2,,(A) Very useful,0,,(A) Very closely,0,,(D),3,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
484267,2018-11-21T16:08:05.298942-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(B),1,,(B),1,,(B),1,,(A) Very high,0,,(D),3,,(E) Very heavy,4,,(B),1,,(A) Very useful,0,,(B),1,,(C),2,,(B),1,,(A) All classes attended,0,,,,"Very good note legibility, he was able to articulate concepts very well",,,
486311,2018-11-22T00:58:59.823287-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(D),3,,(D),3,,,,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,If possible slow the pace of the class down a bit to allow better digestion of the materials being taught to us. Alternatively post the lecture notes before or after class so we may listen during the lecture and not scramble to take notes.
484319,2018-11-21T16:09:49.878781-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(B),1,,(A) Far too high,0,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(C),2,,(E) Very Difficult,4,,(E) Very heavy,4,,(C),2,,(C),2,,(D),3,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,Can we please have a final review session for the final exam just like the other courses’ instructors 
484259,2018-11-21T16:07:39.530964-05:00,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(C),2,,(C),2,,(D),3,,(C),2,,(B),1,,(B),1,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
484317,2018-11-21T16:09:48.676147-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(B),1,,(D),3,,(E) Very heavy,4,,(D),3,,(B),1,,(C),2,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,Mukto was very thorough in his explanations and examples of concepts throughout this course.,,,He would sometimes go way too fast for me to write down notes and follow along at the same time.
484329,2018-11-21T16:10:10.388096-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(D),3,,(C),2,,(B),1,,(A) Friendly & open,0,,(C),2,,(E) Very Difficult,4,,(C),2,,(D),3,,(B),1,,(B),1,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,,,,Can provide some more examples in class. 
484269,2018-11-21T16:08:06.638391-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(C),2,,(B),1,,(B),1,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
480354,2018-11-21T11:01:24.090426-05:00,(C),2,,(D),3,,(C),2,,(C),2,,,,,(A) Far too high,0,,(C),2,,(C),2,,(B),1,,(C),2,,(E) Very Difficult,4,,(E) Very heavy,4,,(D),3,,(A) Very useful,0,,(B),1,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,Good visual communication,,,"Some terms are hard to understand because of the vocabulary so maybe use  simpler terms to explain concepts, then build up speed."
484345,2018-11-21T16:10:54.214595-05:00,(A) Organized,0,,(B),1,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,,,,Please write slower there’s so much writing it’s hard to keep up with your pace and spend more time 
484278,2018-11-21T16:08:31.942212-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(B),1,,(A) Volunteering assistance with pleasure,0,,(B),1,,(A) A great deal,0,,(B),1,,(B),1,,(B),1,,(E) Very Difficult,4,,(D),3,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,Please make the tutorials longer. 1 hour isn’t enough sometimes. ,(E) Poor,4,,(A) All classes attended,0,,,,,,,Can you please stop saying obviously? Most of the time it isn’t really obvious to us and it kinda makes me feel stupid...
484325,2018-11-21T16:09:56.002091-05:00,(C),2,,(B),1,,(A) Excellent,0,,(B),1,,,,,(A) Far too high,0,,(A) A great deal,0,,(B),1,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(B),1,,(B),1,,(B),1,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,
484307,2018-11-21T16:09:23.431883-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(E) Very Difficult,4,,(C),2,,(D),3,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,Very friendly and helpful,,,Repeat basic principals explanations as they are applied to the next topic. The many principals sometimes made it difficult to follow along. 
484253,2018-11-21T16:07:31.577792-05:00,(A) Organized,0,,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(D),3,,(B),1,,(B),1,,(B),1,,(B),1,,(D),3,,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
484261,2018-11-21T16:07:47.584241-05:00,(B),1,,(B),1,,(B),1,,(B),1,,,,,(B),1,,(C),2,,(B),1,,(B),1,,(C),2,,(D),3,,(D),3,,(C),2,,(B),1,,(B),1,,(C),2,,(C),2,,(A) All classes attended,0,,,,,,,
484440,2018-11-21T16:15:38.334459-05:00,(A) Organized,0,,(C),2,,(C),2,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(A) Far too high,0,,(D),3,,(B),1,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(A) Very useful,0,,(B),1,,(A) Very closely,0,,(D),3,,(A) Excellent,0,,(A) All classes attended,0,,,,Review lecture is extremely useful so are the optional questions,,,Please slow down your writing speed I cannot concentrate on the content and write all the notes down at the same time. 
484306,2018-11-21T16:09:20.948108-05:00,(B),1,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,Mabye more examples including numbers instead of variables.
484284,2018-11-21T16:08:46.328115-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(D),3,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(D),3,,(B),1,,(A) All classes attended,0,,,,I like how you write out steps to problems carefully. Also I like how you will take time to answer questions after class. ,,,
484333,2018-11-21T16:10:19.089161-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,"I really liked the flow of the lectures. This was a course with a lot of material to cover, but the lectures never felt rushed and overwhelming. It was great that he took time to answer questions every time and answered them step-by-step every time.",,,"I cannot think of anything that he can improve on. Thank you for being an awesome instructor, Prof Akash! Keep doing what you are doing."
473705,2018-11-20T10:34:18.934602-05:00,(B),1,,(A) Clear,0,,(B),1,,(A) Excellent,0,,,,,(C),2,,(B),1,,(B),1,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(D),3,,(A) Very useful,0,,(B),1,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
