Response ID,Response Time,Q1: Q1,Q1 Select Index,Q1 Comment,Q2: Q2,Q2 Select Index,Q2 Comment,Q3: Q3,Q3 Select Index,Q3 Comment,Q4: Q4,Q4 Select Index,Q4 Comment,Q5: Q5,Q5 Select Index,Q5 Comment,Q6: Q6,Q6 Select Index,Q6 Comment,Q7: Q7,Q7 Select Index,Q7 Comment,Q8: Q8,Q8 Select Index,Q8 Comment,Q9: Q9,Q9 Select Index,Q9 Comment,Q10: Q10,Q10 Select Index,Q10 Comment,Q11: Q11,Q11 Select Index,Q11 Comment,Q12: Q12,Q12 Select Index,Q12 Comment,Q13: Q13,Q13 Select Index,Q13 Comment,Q14: Q14,Q14 Select Index,Q14 Comment,Q15: Q15,Q15 Select Index,Q15 Comment,Q16: Q16,Q16 Select Index,Q16 Comment,Q17: Q17,Q17 Select Index,Q17 Comment,Q18: Q18,Q18 Select Index,Q18 Comment,Q19: Things Done Well,Q19 Select Index,Q19 Comment,Q20: Improvements to be Made,Q20 Select Index,Q20 Comment
304123,2017-11-15T20:11:18.921908-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(B),1,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
305930,2017-11-16T17:19:56.788943-05:00,(C),2,,(C),2,,(A) Excellent,0,,(B),1,,,,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(C),2,,(D),3,,(D),3,,(A) Very useful,0,,(C),2,,(D),3,,(A) Very valuable,0,,(D),3,,(A) All classes attended,0,,,,,,,
305596,2017-11-16T14:49:06.707472-05:00,(A) Organized,0,,(A) Clear,0,,(B),1,,(B),1,,(D),3,,(B),1,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(C),2,,(C),2,,(E) Very Difficult,4,,(D),3,,,,,,,,(C),2,,(A) Very valuable,0,"An actual tutorial would be very useful, not a a quiz and an extra lecture >.>",(C),2,,(A) All classes attended,0,,,,,,,
298804,2017-11-14T16:05:43.668212-05:00,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,(C),2,,,,frequent review ,,,too fast and makes too many mistakes
305192,2017-11-16T12:29:30.074721-05:00,(B),1,,(D),3,,(C),2,,(C),2,,,,,(C),2,,(E) Not at all,4,,(C),2,,(C),2,,(E) Very Low	,4,,,,,(D),3,,(C),2,,(C),2,,(A) Very closely,0,,(C),2,,(E) Poor,4,,(D),3,,,,not particularly,,,concepts were taught for the sake of being taught. One leaves his course and knows every operation that can be done on a matriix but has no idea of what that operation really represents and when it can be used.
308045,2017-11-17T22:35:38.157277-05:00,(A) Organized,0,,(B),1,,(B),1,,(A) Excellent,0,,,,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(B),1,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
297879,2017-11-14T13:34:18.096747-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(A) Far too high,0,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(A) Very Easy,0,,(A) Very little,0,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
307768,2017-11-17T17:14:14.286019-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(B),1,,(B),1,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(C),2,,(B),1,,(C),2,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
307741,2017-11-17T16:50:44.755121-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
303444,2017-11-15T17:21:03.063887-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(B),1,"I think the prof should practice drawing 3-D transformations. Otherwise, the matrices, equations, theorems were all written very clearly and legibly.",,,,(C),2,,(B),1,There were thought provoking true/false questions and proofs in class,(A) Obviously enthusiastic & responsible,0,"There were times were the prof redid a proof from the previous class because he thought it wasn't as clear as he wanted it to, which showed responsibility. ",(A) Friendly & open,0,Very open to questions and corrections; when doing example questions it feels like the class is working together with the prof.,(A) Very high,0,,(C),2,Some of the concepts like area and volume are very easy but others like proofs and some true/false questions are a bit harder. It balances out.,(B),1,"Since many examples are done in class, as long as I understand the concepts, I don't need to do as much compared to the other courses outside of class.",(C),2,Textbook reading helps cover some minor details missed in the lectures.,,,,(A) Very closely,0,,(D),3,"Since there are lots of examples that are done during lectures with the prof, tutorials that do similar thing would be redundant.",(A) Excellent,0,,(A) All classes attended,0,,,,"I really like the style of the prof and the presentation of the course. For any concept, adequate theory is given and then example problems are done to solidify and flesh out the theory. This has worked out really well for me.",,,"If the prof can draw some nice 3D geometry/vectors/transformations that makes them easier to visualize, it would be perfect."
303860,2017-11-15T19:40:26.008553-05:00,(B),1,,(B),1,,(B),1,,(C),2,,(B),1,,(D),3,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(C),2,,(B),1,,(C),2,,(B),1,,(D),3,"Tutorials are only used for quizes and extra lectures, they would be more valuable if it were actually a tutorial",(C),2,,(B),1,,,,,,,
307700,2017-11-17T16:21:33.465531-05:00,(B),1,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
307980,2017-11-17T21:17:04.271095-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(D),3,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(C),2,,(B),1,,(D),3,,(E) Not valuable at all,4,,(D),3,,(A) All classes attended,0,,,,,,,
304384,2017-11-15T23:22:32.364988-05:00,(B),1,,(B),1,,(B),1,,(B),1,,,,,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,,,,,,"Writing matrices takes too long, perhaps use a tablet or ipad with the matrices already written so we can focus on the important part"
305577,2017-11-16T14:47:21.970465-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(B),1,,(B),1,,(C),2,,(C),2,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,Very enthusiastic about teaching the course and is very friendly. ,,,Sometimes may get carried away sometimes in proofs which may not be as useful for students for exams. May want to use time to go over more practice problems.
302880,2017-11-15T15:41:06.074621-05:00,(A) Organized,0,,(C),2,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(A) Far too high,0,,(A) A great deal,0,,(C),2,,(A) Friendly & open,0,,(C),2,,(C),2,,(D),3,,(A) Very useful,0,,(A) Very useful,0,,(C),2,,(A) Very valuable,0,,(A) Excellent,0,,(C),2,,,,,,,
297628,2017-11-14T13:30:54.347886-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306305,2017-11-16T23:07:57.379619-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(C),2,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(E) Poor,4,Sorry Linear Algebra is just super boring.,(A) All classes attended,0,,,,,,,
304148,2017-11-15T20:14:00.307136-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(D),3,,(C),2,,(C),2,,(A) Very useful,0,,,,,(B),1,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,Quizzes are really useful along with textbook,,,Slideshows are really boring prefer chalkboard lessons
291080,2017-11-09T19:18:12.946571-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(B),1,,(C),2,,(A) Very high,0,,(C),2,,(C),2,"Which is good. Maple TA helps us practice for quizzes without the added pressure of scoring high. Basically, we get unlimited practice and it's not too stressful. ",(A) Very useful,0,,(A) Very useful,0,,(B),1,Just the application questions. Maybe add this on Maple TA or something too? I don't know what to expect very much sometimes,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,Goes slowly and explains concepts very clearly so they're easy to understand. Gives many examples that are highly relevant to the course. Highly articulate and explains to the highest degree possible.,,,"On one occasion, our quiz was based on some concepts we learnt the following day. It was only once though. Otherwise, it's been good. However, we could go through a few more application questions in class because previous exams don't have any so we don't know what to do, exactly or how to practice."
292365,2017-11-11T14:17:08.010661-05:00,(C),2,,(C),2,,(B),1,,(C),2,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(C),2,,(D),3,,(B),1,,,,,(A) Very useful,0,,(B),1,,(A) Very valuable,0,,(C),2,,(A) All classes attended,0,,,,,,,
303985,2017-11-15T20:05:46.970215-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(B),1,,(A) Friendly & open,0,,(B),1,,(C),2,,(C),2,,(D),3,,,,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
307792,2017-11-17T17:38:00.934825-05:00,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(C),2,,(C),2,,(B),1,,(C),2,,(B),1,,(C),2,,(C),2,,,,,(C),2,,(A) Very valuable,0,,(C),2,,(A) All classes attended,0,,,,,,,
305984,2017-11-16T18:12:10.459054-05:00,(B),1,,(B),1,,(B),1,,(B),1,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,,,,,,
304136,2017-11-15T20:12:54.332872-05:00,(A) Organized,0,,(A) Clear,0,,(B),1,,(A) Excellent,0,,,,,(A) Far too high,0,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(C),2,,(B),1,,(A) Very little,0,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(C),2,,(A) All classes attended,0,,,,,,,
304126,2017-11-15T20:11:36.866516-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(C),2,,(C),2,,(B),1,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,Everything was structured and organized and the examples were well balanced with concepts. The review part at the beginning of each lecture is nice. ,,,Find some way to make it more enthusiastic because the teaching is done well but the content makes me sleepy. 
307095,2017-11-17T12:47:37.851505-05:00,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,,,,(B),1,,(A) A great deal,0,,(B),1,,(C),2,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(C),2,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,,,,
307698,2017-11-17T16:20:14.317985-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(B),1,,(B),1,,(B),1,,(A) Very high,0,,(D),3,,(D),3,,(A) Very useful,0,,(B),1,,(B),1,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,"Very clear, organised, and productive classes, and terrific speaking. Thank you very much, Professor.",,,
307985,2017-11-17T21:19:59.347666-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(C),2,,(D),3,,(C),2,,(A) Very useful,0,,(C),2,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
303918,2017-11-15T20:04:12.905805-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,Overall enjoyable course.,,,N/A
304045,2017-11-15T20:07:24.285321-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(B),1,,(B),1,,(C),2,,(A) Very high,0,,(C),2,,(C),2,,(A) Very useful,0,,(B),1,,(B),1,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
306164,2017-11-16T21:08:11.370561-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(B),1,,,,,(C),2,,(C),2,,(C),2,,(C),2,,(B),1,,(C),2,,(C),2,,,,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
307685,2017-11-17T16:06:22.799904-05:00,(B),1,,(B),1,,(C),2,,(B),1,,,,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(C),2,,(C),2,,(D),3,,(B),1,,(C),2,,(C),2,,(B),1,,(A) Very valuable,0,,(C),2,,(A) All classes attended,0,,,,,,,
292296,2017-11-10T20:06:45.489992-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(C),2,,(D),3,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,Great attitude and cares about class -- appreciate the one-minute exercises! Makes difficult subject matter understandable and usually walks through solutions clearly.,,,Chalk is sometimes hard to see against blackboard; proofs are sometimes somewhat unclear and could use a few more minutes of explanation.
304329,2017-11-15T22:26:07.615990-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(B),1,,(D),3,,(D),3,,(A) Very useful,0,,(A) Very useful,0,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
298200,2017-11-14T14:05:44.371640-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(D),3,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(C),2,,(B),1,,(B),1,,,,This professor can cleary answer questions.,,,Nothing much.
303787,2017-11-15T19:12:53.005150-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(D),3,,(C),2,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
303828,2017-11-15T19:25:08.337796-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(E) Very Difficult,4,,(E) Very heavy,4,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,Very thorough with concepts.,,,Use more example based teaching
307739,2017-11-17T16:50:19.691409-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(B),1,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(C),2,,(B),1,,,,,(B),1,,,,,(B),1,,(A) All classes attended,0,,,,"- good teaching, he repeats basic concepts too so no one falls behind
- clear voice, explains thoroughly",,,- boring content
300396,2017-11-15T10:28:45.949109-05:00,(B),1,,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(C),2,,(D),3,,(B),1,,(B),1,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,,,,
300751,2017-11-15T11:04:05.954687-05:00,(A) Organized,0,,(A) Clear,0,,(B),1,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,,,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,,,,,,
303898,2017-11-15T20:03:41.591109-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(A) Very Easy,0,,(A) Very little,0,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
304059,2017-11-15T20:08:05.524604-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(B),1,,(A) Volunteering assistance with pleasure,0,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(C),2,,(C),2,,(C),2,,(B),1,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,Don't use chalk with colours such as red and yellow. Too hard to see from the back
303577,2017-11-15T18:10:27.359654-05:00,(A) Organized,0,,(A) Clear,0,,(B),1,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(B),1,,(B),1,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(B),1,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,Knowledgeable and helpful!,,,Don't waste lectures on proofs we don't need and focus on the ones we do need
304030,2017-11-15T20:06:55.821191-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(B),1,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(C),2,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(D),3,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,,,,
304429,2017-11-16T00:31:09.902419-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(B),1,,(C),2,,(D),3,,(B),1,,(B),1,,,,,(C),2,,(D),3,,,,,,,
298204,2017-11-14T14:06:33.385192-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(A) Very useful,0,,(B),1,,(B),1,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,"Great lectures, very organized, very clear, very approachable/likable.",,,Keep it up.
305740,2017-11-16T15:50:01.462452-05:00,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(C),2,,(C),2,,(A) Very useful,0,,(B),1,,(B),1,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
304388,2017-11-15T23:28:22.513736-05:00,(B),1,,(C),2,,(B),1,,(B),1,,(A) Volunteering assistance with pleasure,0,,(A) Far too high,0,,(B),1,,(B),1,,(A) Friendly & open,0,,(B),1,,,,,(B),1,,(A) Very useful,0,,(C),2,,(C),2,,(B),1,,(B),1,,(C),2,,,,,,,
306066,2017-11-16T19:46:16.912990-05:00,(A) Organized,0,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(D),3,,(B),1,,(D),3,,(B),1,,(A) Very closely,0,,(C),2,,(C),2,,(A) All classes attended,0,,,,,,,
304049,2017-11-15T20:07:30.185633-05:00,(A) Organized,0,,(A) Clear,0,,(B),1,,(A) Excellent,0,,,,,(C),2,,(B),1,,(B),1,,(B),1,,(A) Very high,0,,(B),1,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(C),2,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
